ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,Test Case,Homepage CTAs route to primary customer journeys,,,,IT Enterprise\ECommerce\TG Website,"Thompson, Sharee <sthompson19@trugreenmail.com>",Design
,,,1,Navigate to https://www.trugreen.com/ as a logged-out user,The homepage loads with the seasonal hero and primary calls to action visible.,,,
,,,2,Click the primary hero or promotional CTA that advertises online sign-up or getting started,The user is taken to the TruGreen online pricing or buy-online experience instead of a dead link or error page.,,,
,,,3,Use the browser back button to return to the homepage,The homepage returns without a broken layout or blocking overlay.,,,
,,,4,Click the Log In link in the site header or support area,The user is taken to the account login experience in the same browser session.,,,
,,,5,Use the browser back button to return to the homepage,The homepage restores correctly and the main navigation remains usable.,,,
,,,6,Click the Customer Support link from the footer or support area,The user is routed to the customer support page and can continue navigating the site.,,,
,Test Case,Products and Services page supports plan exploration and quote entry,,,,IT Enterprise\ECommerce\TG Website,"Thompson, Sharee <sthompson19@trugreenmail.com>",Design
,,,1,Navigate to https://www.trugreen.com/products-and-services,The plan comparison page loads with plan cards and quote entry options visible.,,,
,,,2,Click the TruPro learn more link from the plan comparison section,The user is taken to the TruPro detail page for the selected plan.,,,
,,,3,Use the browser back button to return to the plan comparison page,The Products and Services page returns with the plan cards still available.,,,
,,,4,Click the Get Started button in the How our lawn care plans work section,The user is taken to the buy-online journey or another valid pricing entry experience.,,,
,,,5,Use the browser back button to return to the Products and Services page,The user returns to the original page without a rendering failure.,,,
,,,6,Go to the Get a custom quote form and click Submit without entering any values,The form blocks submission and shows required-field validation instead of accepting an empty request.,,,
,,,7,Enter values in one or two required fields and leave the rest blank,The remaining missing required fields stay highlighted or otherwise clearly flagged for completion.,,,
,Test Case,Customer Support page provides working self-service and contact paths,,,,IT Enterprise\ECommerce\TG Website,"Thompson, Sharee <sthompson19@trugreenmail.com>",Design
,,,1,Navigate to https://www.trugreen.com/customer-support,The Customer Support page loads with self-service topics and contact options visible.,,,
,,,2,Click the Pay My Bill link from the customer support options or footer support area,The user is taken to the Pay My Bill page.,,,
,,,3,Use the browser back button to return to Customer Support,The Customer Support page returns and remains usable.,,,
,,,4,Expand one FAQ item in the Questions section,The selected FAQ answer expands and displays readable response content.,,,
,,,5,Expand a second FAQ item from a different question or category,The newly selected FAQ answer opens without sending the user away from the page.,,,
,,,6,Go to the Contact Us form and click Submit without completing the required fields,The form blocks submission and displays required-field validation.,,,
,,,7,Click the Log In link from the support section,The user is routed to the account login experience.,,,
,Test Case,High-intent landing page drives both quote and pricing paths,,,,IT Enterprise\ECommerce\TG Website,"Thompson, Sharee <sthompson19@trugreenmail.com>",Design
,,,1,Navigate to https://www.trugreen.com/b/ppc/landing-page,The landing page loads with the hero section and high-intent CTAs visible.,,,
,,,2,Click Check Online Pricing from the hero section,The user is taken to the buy-online or online pricing experience rather than remaining on the page or hitting an error.,,,
,,,3,Use the browser back button to return to the landing page,The landing page restores correctly with its CTA controls available again.,,,
,,,4,Click Talk To A Pro or Request A Call on the landing page,The page scrolls or routes the user to the lead capture section instead of doing nothing.,,,
,,,5,In the quote form click Submit with all fields blank,The form blocks submission and indicates the required fields that must be completed.,,,
,,,6,Enter values in some required fields but leave at least one required field blank and click Submit again,The remaining required field still prevents submission and is clearly identified.,,,
,Test Case,TruPro plan page supports service drilldown and FAQ interaction,,,,IT Enterprise\ECommerce\TG Website,"Thompson, Sharee <sthompson19@trugreenmail.com>",Design
,,,1,Navigate to https://www.trugreen.com/products-and-services/trupro,The TruPro plan page loads with included services and supporting content visible.,,,
,,,2,Click Learn more about Lawn Fertilization from the What's included section,The user is taken to the Lawn Fertilization service detail page.,,,
,,,3,Use the browser back button to return to the TruPro page,The TruPro page returns without losing core content or navigation.,,,
,,,4,Expand one question in the Questions section,The related FAQ answer expands on the page.,,,
,,,5,Click See Support Options in the support area,The user is taken to the Customer Support page.,,,
,,,6,Use the browser back button to return to the TruPro page,The page returns correctly and still allows navigation to quote or support actions.,,,
,Test Case,Lawn Fertilization page links the service back to plans and FAQs,,,,IT Enterprise\ECommerce\TG Website,"Thompson, Sharee <sthompson19@trugreenmail.com>",Design
,,,1,Navigate to https://www.trugreen.com/products-and-services/lawn-fertilization,The Lawn Fertilization page loads with service description and plan guidance visible.,,,
,,,2,Click See Plans With This Service,The user is taken to the plan comparison experience or the page section that compares available plans.,,,
,,,3,If the action scrolled on-page then verify the plan comparison cards are visible,The page reveals the plan options that include lawn fertilization.,,,
,,,4,Click the TruPro learn more link from the plan section,The user is taken to the TruPro detail page.,,,
,,,5,Use the browser back button to return to Lawn Fertilization,The service page returns without losing navigation or content integrity.,,,
,,,6,Expand one FAQ in the Questions section,The answer content displays under the selected question.,,,
,Test Case,Chattanooga branch page renders local branch content instead of an error state,,,,IT Enterprise\ECommerce\TG Website,"Thompson, Sharee <sthompson19@trugreenmail.com>",Design
,,,1,Navigate to https://www.trugreen.com/local-lawn-care/tennessee/chattanooga,The page loads a Chattanooga local branch experience rather than a generic error page.,,,
,,,2,Verify the page does not display an Oops or Try again error message as the main outcome,The user sees local branch content and at least one usable customer action.,,,
,,,3,Verify the page contains Chattanooga-specific or branch-specific service information,The content references the local market instead of a blank or generic failure state.,,,
,,,4,Click a primary local CTA such as quote or callback or service exploration if present,The selected local action responds correctly by opening the intended flow or section.,,,
,,,5,Use any available navigation path on the page to return to broader TruGreen content,The user can continue browsing without getting trapped on an error page.,,,
,Test Case,Lawn Care 101 page supports educational navigation across content hubs,,,,IT Enterprise\ECommerce\TG Website,"Thompson, Sharee <sthompson19@trugreenmail.com>",Design
,,,1,Navigate to https://www.trugreen.com/lawn-care-101,The Lawn Care 101 hub loads with blog and learning center and FAQ entry points visible.,,,
,,,2,Click Visit Our Blog from the Our Blog tile or featured content area,The user is taken to the blog landing page.,,,
,,,3,Use the browser back button to return to Lawn Care 101,The Lawn Care 101 hub returns correctly.,,,
,,,4,Click Start Exploring or Start Learning in the Learning Center section,The user is taken to the learning center experience.,,,
,,,5,Use the browser back button to return to Lawn Care 101,The original hub page is restored and remains usable.,,,
